preprocessedTweets	Polarity	cleanTweet	sentiment_score
وزير اعلي<+> سندھ مراد علي شاہ سپريم کورٹ رجسٹري کمرہ عدالت ميں پيش	O	وزير اعلي سندھ مراد علي شاہ سپريم کورٹ رجسٹري کمرہ عدالت ميں پيش	0
ابوظہبي ٹيسٹ ميں پاکستان پہلي اننگز ميں  رنز پر آل آؤٹ	N	ابوظہبي ٹيسٹ ميں پاکستان پہلي اننگز ميں رنز آل آؤٹ	0
ايم کيو ايم کا نام، منشور اور انتخابي نشان برقرار رہے گا، کنورنويد جميل  مزيد پڑھيں	O	ايم کيو ايم نام، منشور انتخابي نشان برقرار گا، کنورنويد جميل مزيد پڑھيں	1
بھٹو شہيد نے پاکستان کو جمہوري اور پارليماني روايات پر ڈالا، بلاول بھٹو زرداري     …	P	بھٹو شہيد پاکستان جمہوري پارليماني روايات ڈالا، بلاول بھٹو زرداري …	0
اسلام آبادوزيرمملکت داخلہ طلال چوہدري کاکميٹي ميں بيان  دھرنےوالوں سےنمٹنےکےلئےاجلاس طلب کياہے،طلال چوہدري	O	اسلام آبادوزيرمملکت داخلہ طلال چوہدري کاکميٹي ميں بيان دھرنےوالوں سےنمٹنےکےلئےاجلاس طلب کياہے،طلال چوہدري	0
کوئٹہسبي ميں کم سےکم درجہ حرارت ايک ڈگري سينٹي گريڈرکارڈ	O	کوئٹہسبي ميں کم سےکم درجہ حرارت ايک ڈگري سينٹي گريڈرکارڈ	0
تو ان کي بہادر بيٹي نے اس علم کو اٹھايا	P	کي بہادر بيٹي علم اٹھايا	2
کراچي ميں بس کي موٹرسائيکل کو ٹکر‘ بچي جاں بحق  مزيد پڑھيں	N	کراچي ميں بس کي موٹرسائيکل ٹکر‘ بچي جاں بحق مزيد پڑھيں	1
نيکي کريں قوم کےساتھ مساجد،مدارس سےکفرکےفتوےبندکرائيں،جسٹس شوکت	N	نيکي کريں قوم کےساتھ مساجد،مدارس سےکفرکےفتوےبندکرائيں،جسٹس شوکت	1
پيمر اکي تمام نيوز چينلز بند کرنے کي ہدايت  مزيد پڑھيں	N	پيمر اکي تمام نيوز چينلز بند کرنے کي ہدايت مزيد پڑھيں	0
آج   کے موقع پر زرداري صاحب کا ڈانس اگر پيپلزپارٹي کے پرانےلوگوں کو سمجھ آجاتا تو اپنے سر پر جوتےمارت…	N	موقع زرداري صاحب ڈانس اگر پيپلزپارٹي پرانےلوگوں سمجھ آجاتا اپنے سر جوتےمارت…	3
پنجاب حکومت کي مشکلات ميں اضافہ، لاہور ہائيکورٹ نے بڑا فيصلہ دےديا    …	N	پنجاب حکومت کي مشکلات ميں اضافہ، لاہور ہائيکورٹ بڑا فيصلہ دےديا …	1
’تيزاب زدہ پانيوں سے تمام سمندري حيات کو خطرہ‘	N	’تيزاب زدہ پانيوں تمام سمندري حيات خطرہ‘	-2
صفحہکي پہلي سطرميں تاريخ کي ڈال دي گئي،طاہرالقادري	O	صفحہکي پہلي سطرميں تاريخ کي ڈال دي گئي،طاہرالقادري	0
آصف علي زرداري کا جلسے ميں رقص <+>  يہ کس نے سيکھايا<+><+><+>؟	O	آصف علي زرداري جلسے ميں رقص يہ کس سيکھايا؟	1
’بتانے کے بعد ميں اتنا نہيں ڈرا تھا جتنا ميں ٹي وي پر اپنے آپ کو ديکھ کر ڈر گيا‘	N	’بتانے بعد ميں اتنا نہيں ڈرا جتنا ميں ٹي وي اپنے آپ ديکھ ڈر گيا‘	-4
“رپورٹ ميں کسي حکومتي شخصيت کو ذمے دار نہيں ٹھہراياگياموقع پر موجود کسي پوليس اہلکار کو بھي ذمے دار نہيں ٹھہرايا گيااس…	O	“رپورٹ ميں کسي حکومتي شخصيت ذمے دار نہيں ٹھہراياگياموقع موجود کسي پوليس اہلکار بھي ذمے دار نہيں ٹھہرايا گيااس…	3
خوارج کي صحابہ کرام کے متعلق طعن وتشنيع سيدنا عثمان اور سيدنا علي رضي اللہ عنہم اجمعين کو کا فر قرار دينا<+> مکمل مضمون پڑھن…	N	خوارج کي صحابہ کرام متعلق طعن وتشنيع سيدنا عثمان سيدنا علي رضي اللہ عنہم اجمعين فر قرار دينا مکمل مضمون پڑھن…	0
تو ہے بھٹو کي نشاني <><+><+><><+><+> تو ہے بينظير کي نشاني	O	بھٹو کي نشاني بينظير کي نشاني	0
اسلام آبادآج سي ڈي ڈبليو پي ہو رہي ہے، بريفنگ	O	اسلام آبادآج سي ڈي ڈبليو پي رہي ہے، بريفنگ	0
شاہد آفريدي کا کراچي کنگز ميں آنا فخر کي بات ہے ، شاہد آفريدي کے آنے سے کراچي کنگز مکمل ہوگئي ہے،راشد لطيف	P	شاہد آفريدي کراچي کنگز ميں آنا فخر کي بات ، شاہد آفريدي آنے کراچي کنگز مکمل ہوگئي ہے،راشد لطيف	1
قانون کے طالبعلموں نے شرير برادران کي تبديل شدہ نجفيرپورٹ ميں بھي سانحہ…	O	قانون طالبعلموں شرير برادران کي تبديل شدہ نجفيرپورٹ ميں بھي سانحہ…	0
ہم نے اپنے  سالہ حکومت ميں شہيد محترمہ بے نظير بھٹو کے ہوئے وعدے نبھائے    …	P	اپنے سالہ حکومت ميں شہيد محترمہ بے نظير بھٹو وعدے نبھائے …	0
سالہ حکومت ميں وہ سارےکام کئےجوبھٹوصاحب چاہتےتھے،سابق صدر پاکستان آصف علي زرداري	P	سالہ حکومت ميں سارےکام کئےجوبھٹوصاحب چاہتےتھے،سابق صدر پاکستان آصف علي زرداري	1
ڈاکٹرطاہرالقادري نومبرصبح لاہورائير پورٹ پرپہنچيں گے  طاہرالقادري  نومبرکوعالمي ميلادالنبي <+>کانفرنس سےخطاب کرينگے	O	ڈاکٹرطاہرالقادري نومبرصبح لاہورائير پورٹ پرپہنچيں طاہرالقادري نومبرکوعالمي ميلادالنبي کانفرنس سےخطاب کرينگے	0
کوئٹہ  پاک فوج   کے زير اہتمام نيشنل سيکيورٹي ورک شا پ کا آغاز  سےزائدقومي وصوبائي ممبران، ميڈيا نمائندے،بيوروکريٹس  شريک	O	کوئٹہ پاک فوج زير اہتمام نيشنل سيکيورٹي ورک شا پ آغاز سےزائدقومي وصوبائي ممبران، ميڈيا نمائندے،بيوروکريٹس شريک	1
سعودي عرب ميں ايک کھرب ڈالرکي کرپشن کا انکشاف ،  سے زائد افراد گرفتار  مزيد پڑھيں	N	سعودي عرب ميں ايک کھرب ڈالرکي کرپشن انکشاف ، زائد گرفتار مزيد پڑھيں	-3
ملزمان کو،ہزارروپےکےمچلکےجمع کرانےکاحکم	O	ملزمان کو،ہزارروپےکےمچلکےجمع کرانےکاحکم	0
جنرل مشرف پاکستان کي سياست کو نہيں سمجھتے ليکن وہ کرپٹ لوگوں کو حکمران بنا کر چلے گئے اور احتساب کئے بغير چلے گئے	N	جنرل مشرف پاکستان کي سياست نہيں سمجھتے ليکن کرپٹ حکمران بنا احتساب بغير	1
فوٹو شاپ والوں يہ ہوتے ہيں جلسے <+>	N	فوٹو شاپ والوں يہ ہيں جلسے	0
اکتوبر  رات  بجے کا گلوبل نيوز بيٹ	O	اکتوبر رات بجے گلوبل نيوز بيٹ	0
بحريہ ٹاؤن کے ملازمين کو نکال دو جلسے سے تو صرف بلاول اور زرداري ڈاکو ھي رہ جائے گا<><+><+><><+><+>	N	بحريہ ٹاؤن ملازمين نکال جلسے صرف بلاول زرداري ڈاکو ھي رہ	-2
سپريم کورٹ نے عمران خان اور جہانگيرترين نااہلي کيسز کا فيصلہ محفوظ کرليا	O	سپريم کورٹ عمران خان جہانگيرترين نااہلي کيسز فيصلہ محفوظ کرليا	1
چنيوٹملازمين کو ہيپاٹائٹس کي ويکسين دي گئي،رپورٹ  چنيوٹ ملازمين شوگر،سانس کي بيماري ميں مبتلا،رپورٹ  چنيوٹ…	N	چنيوٹملازمين ہيپاٹائٹس کي ويکسين دي گئي،رپورٹ چنيوٹ ملازمين شوگر،سانس کي بيماري ميں مبتلا،رپورٹ چنيوٹ…	0
سي پيک کي حفاظت کيليے پاک فوج کے کردار کو سراہتے ہيں، چين	P	سي پيک کي حفاظت کيليے پاک فوج کردار سراہتے ہيں، چين	2
انسان کوشش کرتا ہے ، کاميابي خدا ديتا ہے ، عمران خان	P	انسان کوشش کرتا ، کاميابي خدا ديتا ، عمران خان	0
جب بھي آمريت مسلط کي گئي تب تب پيپلزپارٹي نےعلم بغاوت بلند کيا، بلاول بھٹو	P	جب بھي آمريت مسلط کي گئي تب تب پيپلزپارٹي نےعلم بغاوت بلند کيا، بلاول بھٹو	-1
دھرناکيس ميں  سيکريٹري ذاتي  طورپرپيش ہوں،رجسٹرار اسلام آبادہائيکورٹ   سيکريٹري داخلہ کےپرسنل اسسٹنٹ کو بھي عدالتي حکم سےآگاہ کردياگيا	O	دھرناکيس ميں سيکريٹري ذاتي طورپرپيش ہوں،رجسٹرار اسلام آبادہائيکورٹ سيکريٹري داخلہ کےپرسنل اسسٹنٹ بھي عدالتي حکم سےآگاہ کردياگيا	0
ہوم سيکريٹري سےرپورٹ پرتصديقي دستخط چاہتے ہيں،طاہرالقادري	O	ہوم سيکريٹري سےرپورٹ پرتصديقي دستخط چاہتے ہيں،طاہرالقادري	1
مريم نوازکواپنےوالدکےجاري کيےگئےچيک پرنام مريم صفدرلکھاگياہے، گواہ	O	مريم نوازکواپنےوالدکےجاري کيےگئےچيک پرنام مريم صفدرلکھاگياہے، گواہ	0
لوگ کہہ رہے تھے بھٹو آيا ہے، بھٹو آيا ہے، وہ ہمارے لئے آيا ہے<+>اس نے وعدہ  کيا ہے کہ تمہيں روٹي، کپڑا اور مکان ملے گا	O	کہہ بھٹو آيا ہے، بھٹو آيا ہے، ہمارے آيا ہےاس وعدہ  کيا تمہيں روٹي، کپڑا مکان ملے	0
کوئٹہ زخميوں کو بي ايم سي منتقل کرديا گيا،ريسکيو ذرائع	N	کوئٹہ زخميوں بي ايم سي منتقل کرديا گيا،ريسکيو ذرائع	0
راولپنڈيفيض آبادپردھرنےکےباعث چوتھےروزبھي اہم سڑکيں بند  راولپنڈيسڑکيں بندہونےکےباعث شہروں کو شديد مشکلات	N	راولپنڈيفيض آبادپردھرنےکےباعث چوتھےروزبھي اہم سڑکيں بند راولپنڈيسڑکيں بندہونےکےباعث شہروں شديد مشکلات	1
جب صورتحال نہيں سنبھالي گئي تو اقتدار بھٹو کے حوالے کرديا گيا، بلاول بھٹو        …	P	جب صورتحال نہيں سنبھالي گئي اقتدار بھٹو حوالے کرديا گيا، بلاول بھٹو …	0
فضائي آلودگي سري لنکن کھلاڑيوں کے بعد بھارتي ڈاکٹروں کي بھي دہلي ٹيسٹ جاري رکھنے کي مخالفت	N	فضائي آلودگي سري لنکن کھلاڑيوں بعد بھارتي ڈاکٹروں کي بھي دہلي ٹيسٹ جاري رکھنے کي مخالفت	-2
دنيا ميں دو تہائي سے زيادہ بالغ خواتين ناخواندہ،  کيا چيز انھيں تعليم سے دور رکھ رہي ہے؟	N	دنيا ميں تہائي زيادہ بالغ خواتين ناخواندہ، کيا چيز انھيں تعليم رہي ہے؟	1
کتنے آدمي تھے ؟؟  <><+><+><><+><+><><+><+><><+><+><><+><+><><+><+>	O	کتنے آدمي ؟؟	0
جاويدہاشمي کے بعد مسلم ليگ ن کا غوث علي شاہ سےرابطہ،ذرائع	O	جاويدہاشمي بعد مسلم ليگ ن غوث علي شاہ سےرابطہ،ذرائع	1
بھٹودور ميں غير ملکي ترسيلات ملنا شروع ہوئيں، بلاول بھٹو زرداري	P	بھٹودور ميں غير ملکي ترسيلات ملنا شروع ہوئيں، بلاول بھٹو زرداري	0
عدالتي حکم کو ماننے ميں تاخير بھي توہين عدالت شمار ہوگي، قاتلوں کيلئے فرار کا کوئي راستہ نہيں<+>  …	O	عدالتي حکم ماننے ميں تاخير بھي توہين عدالت شمار ہوگي، قاتلوں کيلئے فرار کوئي راستہ نہيں …	0
انڈيا ميں زندگياں بدلنے والا موجد	O	انڈيا ميں زندگياں بدلنے والا موجد	0
کوئٹہکميشن نےپہلےروز لاپتاافراد کےکيسزکي سماعت  کي،محکمہ داخلہ ذرائع	O	کوئٹہکميشن نےپہلےروز لاپتاافراد کےکيسزکي سماعت کي،محکمہ داخلہ ذرائع	0
اسلام آبادوزيراعظم شاہدخاقان عباسي سےچيني نائب وزيرخارجہ کي ملاقات اسلام آبادملاقات ميں باہمي تعاون اوردوطرفہ تعلقات پرتبادلہ خيال کياگيا	O	اسلام آبادوزيراعظم شاہدخاقان عباسي سےچيني نائب وزيرخارجہ کي ملاقات اسلام آبادملاقات ميں باہمي تعاون اوردوطرفہ تعلقات پرتبادلہ خيال کياگيا	-2
آئيں مل کر پاک افغان سرحد کو مضبوط کريں، سابق صدر پاکستان آصف علي زرداري       …	P	آئيں مل پاک افغان سرحد مضبوط کريں، سابق صدر پاکستان آصف علي زرداري …	3
لاش ملي ہے	N	لاش ملي	0
نکاح نامہ  اىک قانونى معاہدہ ,,, اسے غورسے پڑہ کر بہرىن معلومات    رہنمائى اور شکاىات کے لئے پنجاب وىمن ہىلب لائن پ…	O	نکاح نامہ اىک قانونى معاہدہ ,,, اسے غورسے پڑہ بہرىن معلومات رہنمائى شکاىات پنجاب وىمن ہىلب لائن پ…	1
چين کا “سي پيک” کا دائرہ کاربڑھانےکا فيصلہ	P	چين “سي پيک” دائرہ کاربڑھانےکا فيصلہ	0
بغير شادي حاملہ بننے کے طريقے بتانے کے جرم ميں مصري ٹيلي ويژن ميزبان کو تين سال قيد	N	بغير شادي حاملہ بننے طريقے بتانے جرم ميں مصري ٹيلي ويژن ميزبان تين سال قيد	-2
سانحہ ماڈل ٹاؤن کےاصل ذمہ دارراناثنااللہ ہيں،طاہرالقادري	N	سانحہ ماڈل ٹاؤن کےاصل ذمہ دارراناثنااللہ ہيں،طاہرالقادري	-1
مقصد يہ ہے کے کرپٹ ٹولے کے خلاف آواز بلند کي جائے ، عمران خان	N	مقصد يہ کرپٹ ٹولے خلاف آواز بلند کي ، عمران خان	-1
کراچيوزيراعلي<+> سندھ مرادعلي شاہ ايکسپوسينٹرپہنچ گئے،ترجمان خورشيدشاہ بھي وزيراعلي<+> سندھ کےساتھ ہيں،ترجمان وزيراعلي<+> سندھ	O	کراچيوزيراعلي سندھ مرادعلي شاہ ايکسپوسينٹرپہنچ گئے،ترجمان خورشيدشاہ بھي وزيراعلي سندھ کےساتھ ہيں،ترجمان وزيراعلي سندھ	0
آج ان لوگوں کو جواب مل گيا ہے جو کہتے تھے کہ تحريک انصاف کے جلسے ميں نوجوان خواتين کي وجہ سے آتے ہيں پيپلز پارٹي…	O	جواب مل گيا تحريک انصاف جلسے ميں نوجوان خواتين کي وجہ آتے ہيں پيپلز پارٹي…	2
ماڈل ٹاؤن قتل عام کےدونوں شريف بھائي ذمہ دارہيں،طاہرالقادري	N	ماڈل ٹاؤن قتل عام کےدونوں شريف بھائي ذمہ دارہيں،طاہرالقادري	-1
فرشتے ہمارے منتظر رہتے ہيں	O	فرشتے ہمارے منتظر رہتے ہيں	0
آج ہميں سانحہ ماڈل ٹاؤن کي رپورٹ دے دي جائے ،طاہر القادري	O	ہميں سانحہ ماڈل ٹاؤن کي رپورٹ دي ،طاہر القادري	-2
اسلام آباد موٹرسائيکل سوار مسلح ڈاکو ڈکيتي کے بعد فرار ہوگئے، پوليس ذرائع	N	اسلام آباد موٹرسائيکل سوار مسلح ڈاکو ڈکيتي بعد فرار ہوگئے، پوليس ذرائع	-1
مستقبل ميں زرعي بنيادپر پاليسي بنائي جائے گي،، سابق صدر پاکستان آصف علي زرداري  …	O	مستقبل ميں زرعي بنيادپر پاليسي بنائي گي،، سابق صدر پاکستان آصف علي زرداري …	1
کراچي پوليس کي نگراني ميں رفاہي پلاٹ پرقائم ہال گرادياگيا،حکام	P	کراچي پوليس کي نگراني ميں رفاہي پلاٹ پرقائم ہال گرادياگيا،حکام	0
مشال خان کے والد کو بھي يقين ہے کہ ان کے بيٹے کے قتل کي بڑي وجہ اس کا متحرک، فعال اور بےباک ہونا تھا	N	مشال خان والد بھي يقين بيٹے قتل کي بڑي وجہ متحرک، فعال بےباک ہونا	-2
سانحہ ماڈل ٹاون پر ايکشن نہيں ليا گيا تو ايسے واقعات دوبارہ ہو سکتے ہيں	N	سانحہ ماڈل ٹاون ايکشن نہيں ليا گيا ايسے واقعات دوبارہ سکتے ہيں	-2
ہم نے دو بار ان کي جمہوريت بچائي ہے ايک بار جب وہ جعلي مينڈيٹ لے کر آئے تھے اور دوسري بار جب عمر…	P	بار کي جمہوريت بچائي ايک بار جب جعلي مينڈيٹ دوسري بار جب عمر…	0
طالبان پوليو ورکرز کو گولياں مارتے تھے ، عمران خان	N	طالبان پوليو ورکرز گولياں مارتے ، عمران خان	0
اسلام آبادہم نے سرکاري ملازمين کي تنخواہيں بڑھائيں،آصف زرداري	P	اسلام آبادہم سرکاري ملازمين کي تنخواہيں بڑھائيں،آصف زرداري	0
شام چھ بجے کا نيوز بليٹن عبداللہ فاروقي کے ساتھ لائيو	O	شام چھ بجے نيوز بليٹن عبداللہ فاروقي ساتھ لائيو	0
موگابے نے خطاب تو کيا مگر استعفي<+> نہيں ديا	O	موگابے خطاب کيا مگر استعفي نہيں ديا	-2
سري نگرگوليوں  اور پيلٹ گن سے متعدد کشميري زخمي،کشميرميڈيا سروس	N	سري نگرگوليوں پيلٹ گن متعدد کشميري زخمي،کشميرميڈيا سروس	0
"لاہور ہائي کورٹ نے  رپوٹ کو پبلک کرنے کا حکم دے ديا ہے<+> لو جي شہباز شريف اب تمھارا "" ٹن ٹن ٹنا ٹن "" شروع <+>"	N	لاہور ہائي کورٹ رپوٹ پبلک کرنے حکم ديا جي شہباز شريف تمھارا ٹن ٹن ٹنا ٹن شروع	0
سال تک ملک کا وزيرخارجہ نہيں  تھا،بلاول بھٹوزرداري	O	سال ملک وزيرخارجہ نہيں تھا،بلاول بھٹوزرداري	0
کشميريوں کي جدوجہدکودہشت گردي سےمنسلک کرنادرست نہيں،مسعودخان	P	کشميريوں کي جدوجہدکودہشت گردي سےمنسلک کرنادرست نہيں،مسعودخان	0
سمن وصول کروانے کا کوئي دستاويزي ثبوت نہيں، گواہ مختار احمد	O	سمن وصول کروانے کوئي دستاويزي ثبوت نہيں، گواہ مختار احمد	0
اے ٹي سي نےريحان ہاشمي وديگرکےناقابل ضمانت وارنٹ جاري کئےتھے مقدمات ميں فاروق ستار،عامرخان،وسيم اختر،خواجہ اظہارنےضمانت لےرکھي ہے	N	اے ٹي سي نےريحان ہاشمي وديگرکےناقابل ضمانت وارنٹ جاري کئےتھے مقدمات ميں فاروق ستار،عامرخان،وسيم اختر،خواجہ اظہارنےضمانت لےرکھي	1
سياست پر جاگيرداروں کا قبضہ تھا <+> بلاول  يہ تو  ہو گيا	N	سياست جاگيرداروں قبضہ بلاول يہ گيا	0
ماڈل ٹاون واقعہ پر جسٹس باقر نجفي کي رپورٹ يہاں سے لے سکتے ہيں<+><+>	O	ماڈل ٹاون واقعہ جسٹس باقر نجفي کي رپورٹ يہاں سکتے ہيں	0
ڈپٹي اسپيکرشہلارضاکيخلاف  اپوزيشن کاتحريک عدم اعتمادلانےکافيصلہ  تحريک  عدم اعتمادشہلارضاکےرويےپرلائي جاري ہے،اپوزيشن اراکين	N	ڈپٹي اسپيکرشہلارضاکيخلاف اپوزيشن کاتحريک عدم اعتمادلانےکافيصلہ تحريک عدم اعتمادشہلارضاکےرويےپرلائي جاري ہے،اپوزيشن اراکين	-4
’اخلاق خراب کرنے‘ کے جرم ميں مصري ٹيلي ويژن اينکر کو تين سال قيد	N	’اخلاق خراب کرنے‘ جرم ميں مصري ٹيلي ويژن اينکر تين سال قيد	-4
وہ دن ماضي کا حصہ بن چکے ہيں جب سعودي عرب ميں تبديلي ميں بہت وقت لگتا تھا اور وہ ايک محتاط رياست تھي	P	دن ماضي حصہ بن ہيں جب سعودي عرب ميں تبديلي ميں بہت وقت لگتا ايک محتاط رياست تھي	-1
سانحہ ماڈل ٹاؤن کميشن کي رپورٹ ميں ردوبدل کا انکشاف<+><+> طاہرالقادري رپورٹ ميں مبينہ گڑبڑ کا ثبوت سامنے لے آئے  …	N	سانحہ ماڈل ٹاؤن کميشن کي رپورٹ ميں ردوبدل انکشاف طاہرالقادري رپورٹ ميں مبينہ گڑبڑ ثبوت سامنے …	-2
“رپورٹ ميں کسي حکومتي شخصيت کو ذمے دار نہيں ٹھہراياگياموقع پر موجود کسي پوليس اہلکار کو بھي ذمے دار نہيں ٹھہرايا گيااس…	O	“رپورٹ ميں کسي حکومتي شخصيت ذمے دار نہيں ٹھہراياگياموقع موجود کسي پوليس اہلکار بھي ذمے دار نہيں ٹھہرايا گيااس…	3
کوئي ضياءالحق کي پيداوارہےتوکوئي کسي اورڈکٹيٹر کي،خورشيد شاہ	N	کوئي ضياءالحق کي پيداوارہےتوکوئي کسي اورڈکٹيٹر کي،خورشيد شاہ	0
عالمي يوم برداشت کے موقع پر پاکستانيوں کي کيا رائے ہے؟	O	عالمي يوم برداشت موقع پاکستانيوں کي کيا رائے ہے؟	2
مشرف پاکستان کي سياست کو سمجھتے نہيں ہيں ، دو کرپٹ لوگوں کو ہمارے اپر مسلط کرکے چلے گئے ، عمران خان	N	مشرف پاکستان کي سياست سمجھتے نہيں ہيں ، کرپٹ ہمارے اپر مسلط کرکے ، عمران خان	1
لاہورجب تک امريکي و نيٹو افواج خطے ميں موجود ہيں ، علاقے ميں امن قائم نہيں ہوسکتا <+> سراج الحق  …	N	لاہورجب امريکي نيٹو افواج خطے ميں موجود ہيں ، ميں امن قائم نہيں ہوسکتا سراج الحق …	3
امريکي اولمپيئن ا بتہاج محمد سے متاثرہو کر پہلي بار با حجاب باربي متعارف  مزيد پڑھيں	P	امريکي اولمپيئن ا بتہاج محمد متاثرہو پہلي بار با حجاب باربي متعارف مزيد پڑھيں	1
ماربل وگرينائٹ کيليے  ارب روپے کا ڈيولپمنٹ پلان تيار	P	ماربل وگرينائٹ کيليے ارب روپے ڈيولپمنٹ پلان تيار	0
فائرنگ کس کے حکم پر ہوئي؟کوئي پوليس آفيسر بتانے کو تيار نہيں باقر نجفي رپورٹ   …	N	فائرنگ کس حکم ہوئي؟کوئي پوليس آفيسر بتانے تيار نہيں باقر نجفي رپورٹ …	1
پاکستان ميں ميڈ ان پاکستان ہي چلے گا،کيپٹنرصفدر	P	پاکستان ميں ميڈ پاکستان ہي گا،کيپٹنرصفدر	0
دھرنے کے مجمع ميں مسلح لوگ موجود تھے اس کي وڈيو موجود ہيں،بيرسٹرظفراللہ	N	دھرنے مجمع ميں مسلح موجود کي وڈيو موجود ہيں،بيرسٹرظفراللہ	2
جون کوٹي ايم اےگلبرگ کا عملہ تجاوزات ہٹانےکيليےمنہاج القران پہنچا،رپورٹ	O	جون کوٹي ايم اےگلبرگ عملہ تجاوزات ہٹانےکيليےمنہاج القران پہنچا،رپورٹ	0
مريم نواز کے خلاف توہين عدالت کي درخواست پر سماعت  نومبر تک ملتوي  مزيد پڑھيں	O	مريم نواز خلاف توہين عدالت کي درخواست سماعت نومبر ملتوي مزيد پڑھيں	0
کالج اور اسپتال ايسےشخص کےنام پربن رہاہےجواپني ذات ميں انجمن تھے،بلاول بھٹو مخدوم امين فہيم ايک فقيرمنش انسان تھے،،بلاول بھٹو	P	کالج اسپتال ايسےشخص کےنام پربن رہاہےجواپني ذات ميں انجمن تھے،بلاول بھٹو مخدوم امين فہيم ايک فقيرمنش انسان تھے،،بلاول بھٹو	0
پوليس کي فائرنگ سے  لوگ ہلاک، زخمي ہوئے، کو فائر لگے،رپورٹ	N	پوليس کي فائرنگ ہلاک، زخمي ہوئے، فائر لگے،رپورٹ	0
جيمزميٹس کابطور امريکي وزيردفاع پاکستان کا پہلا دورہ	O	جيمزميٹس کابطور امريکي وزيردفاع پاکستان دورہ	0
اسلام وہ دين ہے جو فرقہ واريت کو رد کرتا ہے،بلاول بھٹو زرداري	P	اسلام دين فرقہ واريت رد کرتا ہے،بلاول بھٹو زرداري	-2
لاہورملک ميں بجلي کي قلت ہزار ميگاواٹ رہ گئي، پيپکو حکام	P	لاہورملک ميں بجلي کي قلت ہزار ميگاواٹ رہ گئي، پيپکو حکام	-2
نہ تو کافور ہم جنس پرست تھے اور نہ ہي خلجي سے ان کا جسماني تعلق تھا‘	O	نہ کافور جنس پرست نہ ہي خلجي جسماني تعلق تھا‘	-1
شہباز شريف اور رانا ثناء کي  نمبري پکڑي گئي  <><+><+><><+><+><><+><+><><+><+><><+><+><><+><+>  کي بجائے  لکھ ديا ،،  يعني يہ ايڈٹ شدہ رپورٹ ہے…	N	شہباز شريف رانا ثناء کي نمبري پکڑي گئي کي بجائے لکھ ديا ،، يعني يہ ايڈٹ شدہ رپورٹ ہے…	0
خادم پنجاب متوجہ ہوں، لاہور ميں ميت کي تدفين کے حصول کيلئے بھي مشکل، تدفين کيلئے احتجاج کي روايت چل نکلي کريم بلاک…	N	خادم پنجاب متوجہ ہوں، لاہور ميں ميت کي تدفين حصول کيلئے بھي مشکل، تدفين کيلئے احتجاج کي روايت چل نکلي کريم بلاک…	1
اسلام آبادتينوں ريفرنسزميں صرف گواہان مشترک ہيں،تفصيلي فيصلہ  درخواست گزارنےاپني آساني کيلئےريفرنسزيکجاکرنےکي استدعاکي،تفصيلي فيصلہ	O	اسلام آبادتينوں ريفرنسزميں صرف گواہان مشترک ہيں،تفصيلي فيصلہ درخواست گزارنےاپني آساني کيلئےريفرنسزيکجاکرنےکي استدعاکي،تفصيلي فيصلہ	0
اسلام ميں احتساب کا تصوّر	O	اسلام ميں احتساب تصوّر	0
شہباز شريف صاحب اب ميں اصلي رپورٹ نکلواوں گا آپ جانتے نہيں کہ ميں کہاں کہاں تک کے ڈاکومنٹس نکلوا سکتا ہوں  اب ميں ا…	N	شہباز شريف صاحب ميں اصلي رپورٹ نکلواوں آپ جانتے نہيں ميں ڈاکومنٹس نکلوا سکتا ميں ا…	1
آزاديِ افکار ايک روشن خيال اور زندہ قوم کي نشاني ہے	P	آزاديِ افکار ايک روشن خيال زندہ قوم کي نشاني	1
سي پيک سے متعلق چين نے جو تفصيل دي ہے اس سے مطمئن نہيں ،جہانزيب جمالديني	N	سي پيک متعلق چين تفصيل دي مطمئن نہيں ،جہانزيب جمالديني	1
اسلام آبادہائيکورٹ کےحکم پرتجاوزات کيخلاف گرينڈآپريشن شروع  گرينڈ آپريشن ميں سي ڈي اے،پوليس اور سول انتظاميہ افسران شريک	P	اسلام آبادہائيکورٹ کےحکم پرتجاوزات کيخلاف گرينڈآپريشن شروع گرينڈ آپريشن ميں سي ڈي اے،پوليس سول انتظاميہ افسران شريک	0
عوام کي اتني تعداد رپورٹ کو ڈاؤنلوڈ کر رہي ہے کہ ويب سائٹ کا سرور جواب دے گيا	N	عوام کي اتني تعداد رپورٹ ڈاؤنلوڈ رہي ويب سائٹ سرور جواب گيا	1
اسلام آباد ہائيکورٹ کا دھرنا ختم کرنے کيلئے آپريشن کا حکم	O	اسلام آباد ہائيکورٹ دھرنا ختم کرنے کيلئے آپريشن حکم	1
صرف يہ ہي نہيں غريبوں کے بچوں کو سکولوں تک پہنچايا<+>	P	صرف يہ ہي نہيں غريبوں بچوں سکولوں پہنچايا	0
ايک دوسرے کو بچانے کي کوشش کي جارہي تھي<+><+> ماڈل ٹاؤن رپورٹ	N	ايک دوسرے بچانے کي کوشش کي جارہي تھي ماڈل ٹاؤن رپورٹ	0
